train/learning_rate,train/ent_coef,train/ent_coef_loss,time/fps,time/episodes,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/n_updates,train/critic_loss,rollout/ep_rew_mean,train/actor_loss
0.0003,142.79248046875,-1.0192444324493408,163,833,2012,210.91,330000,82474,21807.837890625,-2814390.95333708,1610540.375
0.0003,143.07730102539062,0.09565979242324829,163,843,2075,303.56,340000,84974,19156.5703125,-4298677.61080815,1517483.375
0.0003,125.18868255615234,-0.4254978895187378,163,874,2138,412.3,350000,87474,14173.376953125,-6107570.860013499,1418793.5
0.0003,131.53907775878906,1.6158006191253662,163,1055,2201,40.99,360000,89974,9954.7216796875,-414950.94210944005,1322409.5
0.0003,114.73988342285156,-0.20119109749794006,163,1117,2265,86.74,370000,92474,8443.2099609375,-868717.25454678,1225059.75
0.0003,113.7336196899414,0.7805707454681396,163,1129,2330,202.72,380000,94974,7403.2861328125,-2509502.9418447097,1151536.875
0.0003,114.84996032714844,0.56282639503479,162,1444,2394,41.37,390000,97474,9405.52734375,-203711.79116037,1093052.875
0.0003,129.27671813964844,-0.004603028297424316,162,1497,2457,114.34,400000,99974,10650.703125,-207906.21034945003,991811.75
0.0003,135.6806640625,1.474493384361267,162,1512,2521,216.07,410000,102474,10344.4716796875,-203709.77674156998,940125.9375
0.0003,139.1240692138672,0.6522124409675598,162,1661,2585,50.89,420000,104974,8045.16357421875,-102815.19568943999,861728.5
0.0003,139.30496215820312,0.00978103093802929,162,1919,2650,38.35,430000,107474,10008.099609375,-110446.68383923001,769860.875
0.0003,136.69528198242188,-2.5131025314331055,162,2065,2715,67.39,440000,109974,8836.7333984375,-105604.78944208,707119.4375
0.0003,132.22743225097656,0.589383065700531,161,2073,2779,145.01,450000,112474,7164.4375,-105718.00898011001,645091.875
0.0003,128.83941650390625,0.32085055112838745,161,2085,2844,259.13,460000,114974,7064.71337890625,-109461.85257295,583673.4375
0.0003,123.08506774902344,-0.24938847124576569,161,2093,2908,333.72,470000,117474,7494.0576171875,-110995.93259662,523537.5625
0.0003,119.74336242675781,-0.5957485437393188,161,2105,2972,444.25,480000,119974,4910.474609375,-109900.48618585,475673.46875
0.0003,119.42266845703125,-3.179945945739746,161,2113,3037,519.5,490000,122474,5460.3564453125,-108218.52749920002,443775.5625
0.0003,111.77163696289062,0.1819445639848709,161,2125,3101,627.25,500000,124974,5812.40966796875,-107922.58719954999,391448.125
0.0003,100.7253189086914,0.015595570206642151,161,2133,3166,703.05,510000,127474,4393.12255859375,-108805.10267591002,345243.375
0.0003,91.29737091064453,-0.012365341186523438,160,2146,3231,812.94,520000,129974,3709.871337890625,-104668.39056361001,314473.0
0.0003,86.2301025390625,-0.4257963299751282,160,2154,3296,889.98,530000,132474,3928.8974609375,-100904.72439941,291254.34375
0.0003,81.79532623291016,-0.7792127728462219,160,2166,3362,990.49,540000,134974,2971.662841796875,-98969.29373226999,259080.234375
0.0003,74.19139862060547,-1.6242668628692627,160,2177,3428,968.5,550000,137474,3054.958984375,-94888.32268533,236851.875
0.0003,74.92994689941406,-1.598496913909912,160,2458,3494,28.7,560000,139974,2685.510986328125,-91524.12346643001,214351.078125
0.0003,71.2038803100586,-1.6021342277526855,160,2787,3560,28.82,570000,142474,2326.143798828125,-90617.3293608,195034.890625
0.0003,73.05987548828125,1.7328746318817139,159,3143,3626,27.5,580000,144974,2471.068359375,-90918.22726308001,180353.609375
0.0003,77.1776123046875,-0.7792661190032959,159,3475,3692,38.2,590000,147474,2322.4267578125,-93593.06647743996,160881.625
0.0003,75.0874252319336,1.0718477964401245,159,3506,3757,109.36,600000,149974,2073.319580078125,-98190.09669453,149176.65625
0.0003,67.39281463623047,-1.8031642436981201,159,3517,3822,215.12,610000,152474,2207.516845703125,-99285.42156480998,140925.34375
0.0003,65.10299682617188,-0.28129106760025024,159,3526,3887,302.31,620000,154974,2141.017333984375,-100486.71172546997,126918.5234375
0.0003,66.11652374267578,-2.2382700443267822,159,3537,3953,407.48,630000,157474,2287.969482421875,-101366.90673851999,126268.9453125
0.0003,63.22542953491211,-1.9790374040603638,159,3546,4019,492.83,640000,159974,2362.856201171875,-102331.01202009998,114694.921875
0.0003,59.633060455322266,-2.9830880165100098,159,3557,4084,599.6,650000,162474,2396.59033203125,-102324.35895387002,121857.875
0.0003,59.71626281738281,-2.7761831283569336,159,3566,4149,684.56,660000,164974,2565.86962890625,-102061.8167402,113883.6328125
0.0003,59.68600082397461,-0.23546254634857178,158,3577,4214,790.64,670000,167474,2442.428955078125,-103557.91929024998,103245.046875
0.0003,60.388668060302734,-1.2439405918121338,158,3586,4279,875.06,680000,169974,2672.2861328125,-106126.62772019,101821.1953125
0.0003,59.73887634277344,0.01127326488494873,158,3597,4345,967.39,690000,172474,2654.039794921875,-108589.81508334003,94600.015625
0.0003,54.952293395996094,-0.17401987314224243,158,3606,4410,1000.0,700000,174974,2940.52392578125,-108744.13496384998,97157.6640625
0.0003,49.37995147705078,1.4563592672348022,158,3617,4476,1000.0,710000,177474,2858.480224609375,-111195.31279128003,85808.6015625
0.0003,47.139610290527344,-3.078343391418457,158,3626,4541,1000.0,720000,179974,2641.827880859375,-113700.73460113,87514.7109375
0.0003,44.840843200683594,1.1099345684051514,158,3637,4607,1000.0,730000,182474,2330.07373046875,-117460.42003698999,83226.359375
0.0003,39.396018981933594,-1.2861039638519287,158,3646,4673,1000.0,740000,184974,2717.926025390625,-119330.97795079002,81104.1640625
0.0003,35.5652961730957,0.5324956178665161,158,3657,4739,1000.0,750000,187474,2761.57958984375,-120053.63493672998,81880.8984375
0.0003,35.46669006347656,1.4304776191711426,158,3666,4804,1000.0,760000,189974,2319.635986328125,-119709.73714247,72521.8515625
0.0003,36.397132873535156,0.8865195512771606,158,3677,4870,1000.0,770000,192474,2481.537841796875,-121232.52775193,75974.4453125
0.0003,33.512916564941406,-2.3597497940063477,158,3686,4935,1000.0,780000,194974,2862.445556640625,-121387.9118839,73841.875
0.0003,30.984554290771484,1.8898345232009888,157,3697,5002,1000.0,790000,197474,2167.65087890625,-120219.68506611999,67449.46875
0.0003,27.27198028564453,-1.0214216709136963,157,3706,5069,1000.0,800000,199974,2503.451416015625,-117743.98717207002,87154.3828125
0.0003,25.952991485595703,1.1151026487350464,157,3717,5135,1000.0,810000,202474,2632.551513671875,-112560.91324958,67632.0859375
0.0003,25.046302795410156,2.249088764190674,157,3726,5201,1000.0,820000,204974,2139.83642578125,-107855.09283900999,65039.76171875
0.0003,23.958436965942383,1.496701955795288,157,3737,5266,1000.0,830000,207474,2519.142333984375,-99156.39803984002,76442.46875
0.0003,24.311481475830078,0.13450753688812256,157,3746,5332,1000.0,840000,209974,2529.31201171875,-93143.15103051999,71436.46875
0.0003,25.92603874206543,-1.9673357009887695,157,3757,5397,1000.0,850000,212474,2561.864013671875,-91378.29496335,66457.171875
0.0003,24.86807632446289,0.4810323119163513,157,3766,5463,1000.0,860000,214974,2331.8935546875,-89532.44184371,59224.01953125
0.0003,22.865291595458984,-0.718773603439331,157,3777,5529,1000.0,870000,217474,2244.53515625,-84462.52960983998,61229.1640625
0.0003,20.901742935180664,0.9937928915023804,157,3786,5595,1000.0,880000,219974,2226.408935546875,-78233.27514093,68155.890625
0.0003,21.631437301635742,1.911444902420044,157,3797,5661,1000.0,890000,222474,2061.8017578125,-71000.16250144,54631.73046875
0.0003,19.67893409729004,0.9382635354995728,157,3806,5727,1000.0,900000,224974,2171.792724609375,-67075.72060707,58911.67578125
0.0003,19.49622917175293,-2.7935314178466797,157,3817,5793,1000.0,910000,227474,2481.2060546875,-64072.422825739995,73456.7734375
0.0003,19.037248611450195,0.3998655080795288,157,3826,5859,1000.0,920000,229974,2264.23974609375,-61411.042194149995,56804.6015625
0.0003,18.852922439575195,0.09244367480278015,156,3837,5924,1000.0,930000,232474,2193.80224609375,-60524.08447019,55689.6796875
0.0003,17.968250274658203,1.333420753479004,156,3846,5990,1000.0,940000,234974,1814.6343994140625,-60388.13232566001,59358.8671875
0.0003,16.398279190063477,0.09330801665782928,156,3857,6055,1000.0,950000,237474,2039.1441650390625,-56841.56371114,53809.03125
0.0003,16.711498260498047,-0.08502139151096344,156,3866,6121,1000.0,960000,239974,1878.6077880859375,-55849.26434526,56536.75
0.0003,14.786211013793945,-0.6172808408737183,156,3877,6187,1000.0,970000,242474,2092.947021484375,-52407.03348802,51445.890625
0.0003,16.737823486328125,1.7218804359436035,156,3886,6255,1000.0,980000,244974,1738.9224853515625,-52008.35277713001,49044.6796875
0.0003,13.548754692077637,-1.0152918100357056,156,3897,6320,1000.0,990000,247474,2239.142578125,-51752.7270448,68857.828125
0.0003,12.595876693725586,2.070775270462036,156,3906,6385,1000.0,1000000,249974,2146.52294921875,-50784.08035836,55368.04296875
