train/learning_rate,train/n_updates,time/time_elapsed,rollout/ep_len_mean,train/policy_gradient_loss,train/explained_variance,rollout/ep_rew_mean,time/total_timesteps,train/value_loss,train/loss,train/entropy_loss,train/approx_kl,train/std,train/clip_range,time/fps,train/clip_fraction
0.0017,300,274,48.37,-0.0029267596302815944,0.0,-680292.9409668201,250000,22836295430.4,12213797888.0,-18.246269293129444,0.0030776937,1.1090506315231323,0.2,910,0.00321044921875
0.0017,310,284,39.68,-0.0028450975985833795,1.7881393432617188e-07,-579327.8598269201,260000,22613886635.2,11035826176.0,-18.290497437119484,0.0031922741,1.1129463911056519,0.2,913,0.00335693359375
0.0017,320,294,43.48,-0.002989377551966754,0.0,-614003.56367901,270000,22572400420.8,10664211456.0,-18.333298148214816,0.0033743996,1.117040991783142,0.2,915,0.00390625
0.0017,340,309,49.57,-0.0019131949276925298,1.7881393432617188e-07,-690263.78712525,280000,21401683833.6,11507333120.0,-18.424634589254858,0.0018858733,1.1256661415100098,0.2,903,0.000732421875
0.0017,350,320,43.47,-0.002057137201882142,0.0,-605831.56872423,290000,22220055161.6,10737479680.0,-18.468498499691485,0.0021464059,1.12960684299469,0.2,906,0.00091552734375
0.0017,360,330,48.84,-0.002323450690255413,-2.384185791015625e-07,-667509.51616636,300000,21381965683.2,10395197440.0,-18.515409757196903,0.0023820442,1.134540319442749,0.2,908,0.00145263671875
0.0017,370,340,45.01,-0.0025058995366634917,0.0,-622146.20795907,310000,21600540800.0,10879117312.0,-18.5631337672472,0.0030567143,1.1386367082595825,0.2,910,0.00313720703125
0.0017,390,355,39.84,-0.002053137104121561,1.1920928955078125e-07,-555194.86191022,320000,21138923436.8,10628819968.0,-18.646817070245742,0.0018774169,1.1467450857162476,0.2,900,0.0006103515625
0.0017,400,365,43.75,-0.0017827203185333928,0.0,-610868.07330437,330000,21401252216.0,10593753088.0,-18.68969033807516,0.0021159695,1.150634765625,0.2,902,0.0005859375
0.0017,410,375,44.44,-0.001622345463692909,-2.384185791015625e-07,-621516.63167363,340000,20548384491.2,9512683520.0,-18.728412893414497,0.0015554811,1.1541417837142944,0.2,905,0.0002685546875
0.0017,420,385,43.07,-0.0017491279496425704,1.1920928955078125e-07,-588863.3001592901,350000,21501836158.4,10850537472.0,-18.770181773602964,0.0015698249,1.1587191820144653,0.2,907,0.000244140625
0.0017,430,395,50.87,-0.002228579914662987,0.0,-695264.9811406401,360000,19949983956.8,10732973056.0,-18.81465852111578,0.002361515,1.162678837776184,0.2,909,0.00128173828125
0.0017,450,411,42.47,-0.0024902884410039406,0.0,-592497.7081081,370000,21087794480.0,11504189440.0,-18.90346976220608,0.0024551,1.1717746257781982,0.2,900,0.002392578125
0.0017,460,421,42.22,-0.002557886144677468,0.0,-585145.57168055,380000,20879779244.8,10371780608.0,-18.94839801341295,0.0024528038,1.1757111549377441,0.2,902,0.00162353515625
0.0017,470,431,40.71,-0.00153866703985841,1.7881393432617188e-07,-564395.40013481,390000,20626211494.4,9996418048.0,-18.993465277552605,0.0014426068,1.180681824684143,0.2,904,0.0003662109375
0.0017,480,441,39.33,-0.002104049231456884,-1.1920928955078125e-07,-555415.7519962001,400000,20538944336.0,10291147776.0,-19.037439726293087,0.0020414847,1.1843502521514893,0.2,905,0.0007080078125
