train/critic_loss,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/ent_coef,train/n_updates,train/actor_loss,time/fps,time/episodes,time/time_elapsed,train/ent_coef_loss,rollout/ep_rew_mean
401.3802795410156,690000,15.76,0.0064,11.523343086242676,172474,-79238.578125,124,33291,5541,0.0153769850730896,119524.98152720001
372.9256286621094,700000,15.35,0.0064,12.274046897888184,174974,-78448.2421875,124,33936,5627,1.0326511859893799,132640.55313443
369.73162841796875,710000,15.49,0.0064,12.281792640686035,177474,-78841.3046875,124,34588,5714,0.12447788566350937,132944.26280104
396.75628662109375,720000,15.45,0.0064,16.04538345336914,179974,-79622.1640625,124,35214,5800,0.4982495903968811,132650.21952577
424.5498352050781,730000,15.62,0.0064,12.830394744873047,182474,-79845.640625,123,35853,5887,-0.662878155708313,130847.68459450999
456.2637634277344,740000,15.29,0.0064,12.7781400680542,184974,-79077.8125,123,36505,5973,0.34323829412460327,132548.50721623
402.4507141113281,750000,15.19,0.0064,14.860995292663574,187474,-79448.234375,123,37157,6059,3.411471366882324,132944.45605648
419.241943359375,760000,15.21,0.0064,13.733085632324219,189974,-78697.09375,123,37813,6146,-6.015735149383545,133066.03740689
483.9992980957031,770000,16.06,0.0064,14.631601333618164,192474,-78243.140625,123,38463,6232,1.7280139923095703,115345.0558097
366.9504699707031,780000,15.18,0.0064,12.42667007446289,194974,-79787.921875,123,39120,6318,-0.286740779876709,132758.6
363.1189880371094,790000,15.11,0.0064,11.346659660339355,197474,-80095.125,123,39773,6405,-1.6647601127624512,133273.01376874
358.6641540527344,800000,15.41,0.0064,10.882372856140137,199974,-79014.8515625,123,40425,6491,0.49148255586624146,130302.52449346
355.1734924316406,810000,15.35,0.0064,12.02060317993164,202474,-77348.3203125,123,41073,6578,-3.718228340148926,132858.53771655998
422.0622863769531,820000,15.21,0.0064,11.347827911376953,204974,-79243.59375,123,41730,6664,4.9002838134765625,133157.24455451
340.37701416015625,830000,15.3,0.0064,12.40121078491211,207474,-80548.8046875,122,42379,6750,0.54002845287323,128244.67999482
445.7188720703125,840000,15.33,0.0064,12.06912612915039,209974,-79724.1015625,122,43011,6837,4.298121452331543,133056.07665695998
389.31048583984375,850000,15.25,0.0064,12.332578659057617,212474,-76523.34375,122,43660,6923,-1.9597564935684204,133257.34765232
405.5911560058594,860000,15.3,0.0064,11.646379470825195,214974,-78974.796875,122,44311,7009,-0.9961357116699219,132554.38710007002
475.9297790527344,870000,15.34,0.0064,12.714486122131348,217474,-79234.140625,122,44961,7095,1.0713001489639282,133263.87280983
453.3991394042969,880000,15.28,0.0064,12.601120948791504,219974,-79465.1875,122,45615,7180,-0.6080764532089233,133257.21053746
372.1935729980469,890000,15.05,0.0064,12.620378494262695,222474,-79991.9296875,122,46274,7267,-2.5922248363494873,133362.9
353.8514099121094,900000,15.89,0.0064,11.984543800354004,224974,-79577.6875,122,46926,7353,0.9905173778533936,129309.77891660001
308.108154296875,910000,15.51,0.0064,12.76957893371582,227474,-79748.890625,122,47579,7439,1.606400489807129,133233.64178992
327.0953063964844,920000,15.12,0.0064,10.063325881958008,229974,-78932.3984375,122,48235,7525,0.33798637986183167,133369.85405115
321.1269836425781,930000,15.11,0.0064,10.722929000854492,232474,-78895.359375,122,48890,7612,1.2911702394485474,133163.17486467
288.27239990234375,940000,18.94,0.0064,10.974109649658203,234974,-79443.015625,122,49523,7698,0.04923015832901001,123414.8404845
369.5882263183594,950000,15.52,0.0064,12.111693382263184,237474,-79677.5078125,122,50157,7785,-0.8650462031364441,115685.27912732
309.7980041503906,960000,15.21,0.0064,11.876568794250488,239974,-78702.6640625,121,50811,7872,0.5687252283096313,132756.37355549997
281.9789733886719,970000,15.22,0.0064,11.672955513000488,242474,-78451.921875,121,51470,7959,0.4300048053264618,133155.17573371
323.0716857910156,980000,15.11,0.0064,11.185641288757324,244974,-80182.40625,121,52127,8046,-5.053701400756836,131149.23977101
330.6780700683594,990000,15.16,0.0064,12.996447563171387,247474,-80937.1640625,121,52766,8133,0.4961678981781006,128833.89507036
415.7839050292969,1000000,15.43,0.0064,13.532999992370605,249974,-79602.7578125,121,53409,8219,2.6485376358032227,132845.83331222003
