time/time_elapsed,train/value_loss,time/fps,train/is_line_search_success,train/n_updates,train/kl_divergence_loss,rollout/ep_rew_mean,train/explained_variance,rollout/ep_len_mean,train/std,time/total_timesteps,train/policy_objective,train/learning_rate
244,3690362710.8,1430,1.0,42,0.008718748576939106,56553.67964907,-1.1920928955078125e-07,6.08,0.6764888763427734,350000,0.04997071996331215,0.0013
251,3916065334.0,1430,1.0,43,0.006766469683498144,53544.49420491001,0.0,6.13,0.6738085150718689,360000,0.032937150448560715,0.0013
259,3933526989.2,1424,1.0,45,0.009201954118907452,58266.34650125001,0.0,6.1,0.6593302488327026,370000,0.03608955815434456,0.0013
266,3949341679.6,1425,1.0,46,0.007327582221478224,58774.07780433,-2.384185791015625e-07,6.11,0.6545364260673523,380000,0.028794340789318085,0.0013
273,4031909819.2,1426,1.0,47,0.006480725947767496,58470.4,0.0,6.07,0.6490331292152405,390000,0.039657384157180786,0.0013
280,4002924058.4,1426,1.0,48,0.006354230921715498,60595.3,0.0,6.01,0.6446042656898499,400000,0.03267139568924904,0.0013
288,4124214347.6,1421,1.0,50,0.0061685447581112385,56272.693385649996,0.0,6.03,0.6399745941162109,410000,0.029104596003890038,0.0013
295,3985135376.8,1422,1.0,51,0.00894952192902565,59685.1,-1.1920928955078125e-07,6.04,0.6391565203666687,420000,0.04334646090865135,0.0013
302,4093929773.2,1422,1.0,52,0.007460686843842268,62202.93527624,0.0,6.04,0.6373251080513,430000,0.031008657068014145,0.0013
309,4186393148.8,1423,1.0,53,0.00840104091912508,62005.63199071,5.960464477539063e-08,6.02,0.6320487856864929,440000,0.04625521972775459,0.0013
316,4127903530.8,1423,1.0,54,0.009096500463783741,61901.7,0.0,6.03,0.6272303462028503,450000,0.031107468530535698,0.0013
324,4230066557.2,1419,1.0,56,0.007906779646873474,62510.6,-2.384185791015625e-07,6.01,0.6228024363517761,460000,0.04481038823723793,0.0013
330,4178188696.0,1420,1.0,57,0.007809789385646582,62206.42753529,0.0,6.02,0.6228553056716919,470000,0.03142669424414635,0.0013
337,4181767010.8,1420,1.0,58,0.006248701363801956,62707.9,0.0,6.01,0.6237315535545349,480000,0.0263743344694376,0.0013
344,4186123754.8,1421,1.0,59,0.00898321345448494,62307.6,2.384185791015625e-07,6.04,0.6222322583198547,490000,0.038751132786273956,0.0013
352,4189349922.0,1417,1.0,61,0.009713112376630306,62104.8,0.0,6.02,0.6236942410469055,500000,0.037595540285110474,0.0013
359,4141321324.8,1417,1.0,62,0.0090622054412961,62403.4,-2.384185791015625e-07,6.01,0.6207960247993469,510000,0.028627457097172737,0.0013
366,4391514506.0,1418,1.0,63,0.009274289943277836,62105.3,0.0,6.03,0.6200593113899231,520000,0.05254130810499191,0.0013
373,4134005471.2,1418,1.0,64,0.008977496065199375,62204.9,2.384185791015625e-07,6.04,0.6203925013542175,530000,0.04685373231768608,0.0013
380,4142954885.2,1419,1.0,65,0.00910175871104002,62103.9,0.0,6.02,0.6154101490974426,540000,0.036613211035728455,0.0013
388,4140498036.0,1415,1.0,67,0.006337393075227737,62304.3,2.384185791015625e-07,6.01,0.6161585450172424,550000,0.029461733996868134,0.0013
395,4140934418.0,1416,1.0,68,0.008735214360058308,62911.1,-1.1920928955078125e-07,6.02,0.6124812960624695,560000,0.03237634897232056,0.0013
402,4108109733.2,1416,1.0,69,0.008507569320499897,62913.7,3.5762786865234375e-07,6.0,0.6120672821998596,570000,0.038589268922805786,0.0013
409,4103522691.2,1417,1.0,70,0.008851736783981323,62810.2,0.0,6.02,0.6139399409294128,580000,0.037783339619636536,0.0013
417,4106685266.8,1413,1.0,72,0.009259714744985104,62710.7,2.384185791015625e-07,6.03,0.6101247668266296,590000,0.03486548736691475,0.0013
424,4076462862.4,1413,1.0,73,0.008950180374085903,62712.0,-2.384185791015625e-07,6.02,0.6058524250984192,600000,0.03309083729982376,0.0013
431,4068887913.2,1414,1.0,74,0.009492408484220505,62913.3,0.0,6.01,0.6057561039924622,610000,0.032353565096855164,0.0013
438,4068731678.4,1414,1.0,75,0.007900468073785305,62910.2,0.0,6.02,0.6045454144477844,620000,0.034920621663331985,0.0013
445,4100153500.0,1415,1.0,76,0.009626123122870922,63014.2,1.1920928955078125e-07,6.01,0.6024465560913086,630000,0.037344060838222504,0.0013
453,4080776844.4,1411,1.0,78,0.00644776551052928,63212.8,1.7881393432617188e-07,6.0,0.600533664226532,640000,0.041695237159729004,0.0013
460,4051620387.2,1412,1.0,79,0.009034733287990093,62710.2,1.7881393432617188e-07,6.02,0.6004496216773987,650000,0.041217733174562454,0.0013
466,4055623104.8,1413,1.0,80,0.009390450082719326,63015.1,-1.1920928955078125e-07,6.01,0.5996560454368591,660000,0.04721638932824135,0.0013
473,4068607652.4,1414,1.0,81,0.006438397336751223,63215.5,2.384185791015625e-07,6.0,0.5997838973999023,670000,0.02571238949894905,0.0013
481,4027268741.2,1411,1.0,83,0.008941635489463806,62808.1,-2.384185791015625e-07,6.05,0.6010292172431946,680000,0.034433696419000626,0.0013
488,3992740147.6,1412,1.0,84,0.009964128024876118,63016.4,-1.1920928955078125e-07,6.0,0.6037067174911499,690000,0.04484105855226517,0.0013
495,4003970953.2,1413,1.0,85,0.006378868129104376,63016.9,-2.384185791015625e-07,6.01,0.6026110053062439,700000,0.02703317254781723,0.0013
502,4002714628.4,1413,1.0,86,0.009401680901646614,63012.0,-2.384185791015625e-07,6.02,0.6010720133781433,710000,0.02863890677690506,0.0013
509,3993353049.6,1414,1.0,87,0.009300767444074154,63012.84682871,-2.384185791015625e-07,6.02,0.6027833223342896,720000,0.04004200920462608,0.0013
517,3981153489.2,1411,1.0,89,0.009625272825360298,62811.1,5.960464477539063e-08,6.02,0.5999460816383362,730000,0.030109159648418427,0.0013
524,3947547073.6,1411,1.0,90,0.009135707281529903,63216.4,0.0,6.0,0.6009705662727356,740000,0.04173926264047623,0.0013
530,3928985776.8,1412,1.0,91,0.008434157818555832,62322.95484914,1.7881393432617188e-07,6.01,0.6014108657836914,750000,0.038021381944417953,0.0013
537,4036104018.8,1413,1.0,92,0.008408294059336185,63522.3,0.0,6.01,0.6008935570716858,760000,0.033997632563114166,0.0013
544,3961223946.0,1413,1.0,93,0.00904928706586361,63620.9,0.0,6.0,0.6002799272537231,770000,0.03643094375729561,0.0013
552,3959135412.8,1411,1.0,95,0.00963430106639862,64933.1,0.0,6.01,0.5975431799888611,780000,0.032076649367809296,0.0013
559,3958345285.6,1412,1.0,96,0.006400588434189558,65940.4,0.0,6.03,0.5969715118408203,790000,0.03457885608077049,0.0013
566,4106896699.6,1412,1.0,97,0.007975723594427109,61536.17830783,0.0,6.05,0.5979908108711243,800000,0.03435763344168663,0.0013
573,4244642730.8,1413,1.0,98,0.008914628997445107,67858.68740765,0.0,6.0,0.596785843372345,810000,0.029215019196271896,0.0013
581,4338988189.2,1410,1.0,100,0.009657959453761578,67171.95609888999,0.0,6.04,0.5962299704551697,820000,0.04179730266332626,0.0013
588,4509431666.8,1411,1.0,101,0.009444194845855236,68074.82119706999,5.960464477539063e-08,6.01,0.5940219759941101,830000,0.035513948649168015,0.0013
594,4468191851.2,1411,1.0,102,0.009107265621423721,71490.2,0.0,6.0,0.5907518267631531,840000,0.038237880915403366,0.0013
601,4521216794.0,1412,1.0,103,0.006408989429473877,71488.0,0.0,6.01,0.5891764163970947,850000,0.026090290397405624,0.0013
608,4513113116.4,1412,1.0,104,0.006519329268485308,70987.6,2.384185791015625e-07,6.02,0.5894797444343567,860000,0.03502343222498894,0.0013
616,4527178882.4,1410,1.0,106,0.009433974511921406,70289.25060026,0.0,6.05,0.5879562497138977,870000,0.03295178711414337,0.0013
623,4612835449.2,1411,1.0,107,0.009789991192519665,72297.9,1.7881393432617188e-07,6.01,0.5879761576652527,880000,0.03468286246061325,0.0013
630,4504436896.0,1411,1.0,108,0.009399271570146084,72597.0,0.0,6.01,0.587817370891571,890000,0.0371573269367218,0.0013
637,4555776179.6,1411,1.0,109,0.006546730641275644,72902.4,1.7881393432617188e-07,6.01,0.587462842464447,900000,0.02649545483291149,0.0013
645,4596560108.4,1409,1.0,111,0.009120013564825058,72905.1,0.0,6.01,0.5841563940048218,910000,0.02786596119403839,0.0013
652,4594736912.8,1410,1.0,112,0.007074626162648201,72804.6,0.0,6.0,0.5856500267982483,920000,0.034245334565639496,0.0013
659,4546998459.6,1410,1.0,113,0.008875995874404907,73105.5,-2.384185791015625e-07,6.0,0.583123505115509,930000,0.037140317261219025,0.0013
666,4566252707.6,1411,1.0,114,0.009983842261135578,72701.9,-2.384185791015625e-07,6.0,0.5828896164894104,940000,0.041736625134944916,0.0013
673,4544566279.2,1411,1.0,115,0.006438115146011114,72601.9,0.0,6.0,0.5834643840789795,950000,0.0225425586104393,0.0013
681,4527781751.2,1409,1.0,117,0.006984341889619827,71104.46529923,1.7881393432617188e-07,6.02,0.5808913707733154,960000,0.02633201889693737,0.0013
688,4548478126.0,1409,1.0,118,0.006692904978990555,72797.5,5.960464477539063e-08,6.02,0.5798018574714661,970000,0.02526632882654667,0.0013
694,4526845415.2,1410,1.0,119,0.009731684811413288,72699.7,1.7881393432617188e-07,6.01,0.5790771842002869,980000,0.030020399019122124,0.0013
701,4497520623.2,1410,1.0,120,0.009152778424322605,72601.0,1.7881393432617188e-07,6.0,0.5787178874015808,990000,0.03622736036777496,0.0013
709,4524035303.6,1408,1.0,122,0.009903393685817719,72700.6,0.0,6.01,0.5754685997962952,1000000,0.03146382048726082,0.0013
