rollout/ep_len_mean,train/critic_loss,time/episodes,time/fps,train/actor_loss,train/ent_coef,train/ent_coef_loss,time/time_elapsed,train/n_updates,train/learning_rate,time/total_timesteps,rollout/ep_rew_mean
17.73,23900.642578125,11990,137,1477136.5,253.32656860351562,-0.2754169702529907,1162,39974,0.0003,160000,-733017.92000322
11.33,34953.99609375,12636,137,1521705.875,244.24383544921875,-4.2534565925598145,1235,42474,0.0003,170000,-325259.29247799003
16.7,39163.77734375,13129,137,1649871.75,246.40408325195312,1.2524079084396362,1310,44974,0.0003,180000,-582180.61550546
6.87,58438.05859375,14073,137,1849477.0,294.6195068359375,-3.176905632019043,1384,47474,0.0003,190000,-207175.28308760998
5.48,79500.1171875,15843,136,1934164.125,362.611328125,-5.212697505950928,1460,49974,0.0003,200000,-168231.97394201998
5.63,92612.7421875,17553,136,1990110.25,423.3451232910156,0.9593130350112915,1536,52474,0.0003,210000,-183931.17071566998
6.74,117514.546875,18911,136,1907873.75,443.6168212890625,-3.2633297443389893,1610,54974,0.0003,220000,-235122.15338154
8.69,127543.34375,19991,136,1980626.5,407.70440673828125,-1.5003530979156494,1684,57474,0.0003,230000,-314650.8949902
6.88,124777.125,21212,136,1936361.875,388.4481201171875,0.9025901556015015,1759,59974,0.0003,240000,-215460.76326936999
6.6,124359.140625,22646,136,1729321.75,438.7500915527344,-0.180871844291687,1835,62474,0.0003,250000,-204747.04193587002
5.5,122017.1015625,24355,135,1623090.375,482.880859375,2.0604212284088135,1913,64974,0.0003,260000,-168375.08477901
3.68,122162.421875,26554,135,1446010.25,597.0089111328125,2.8549246788024902,1990,67474,0.0003,270000,-129743.94528548999
7.02,126960.109375,28946,135,1605433.0,675.1333618164062,-3.7509047985076904,2067,69974,0.0003,280000,-278584.61506133
4.99,136208.40625,30536,135,1500192.125,561.6576538085938,-2.920396566390991,2144,72474,0.0003,290000,-160837.36693412
10.0,130024.25,31820,135,1431350.0,536.3798217773438,-0.1880023181438446,2222,74974,0.0003,300000,-327148.95777284
13.59,130171.078125,32766,134,1357243.75,592.3914794921875,3.488034248352051,2296,77474,0.0003,310000,-550333.12279269
6.91,110817.25,33791,135,1405730.125,553.2340087890625,-1.191321611404419,2369,79974,0.0003,320000,-234999.09277377996
5.64,134888.515625,35451,134,1425518.5,526.602294921875,-4.947580337524414,2445,82474,0.0003,330000,-183021.62506765
5.11,120672.53125,37278,134,1293145.25,531.4281616210938,3.2182669639587402,2525,84974,0.0003,340000,-173461.56823478002
4.02,108278.5859375,39516,134,1255213.625,521.3897705078125,-6.266504287719727,2605,87474,0.0003,350000,-137601.88328134
13.96,106487.5234375,41377,133,1097866.25,487.42340087890625,0.45093560218811035,2689,89974,0.0003,360000,-636029.7076481798
13.31,90010.5703125,42222,133,1199134.25,461.6055603027344,1.894673228263855,2770,92474,0.0003,370000,-620986.21773104
102.9,80661.4140625,42304,133,929772.5,449.7252502441406,4.744752883911133,2852,94974,0.0003,380000,-5113131.614212009
3.93,92165.34375,43863,132,929513.125,424.3564758300781,-2.41115665435791,2933,97474,0.0003,390000,-141417.37152299998
15.22,84577.5546875,45629,132,997405.4375,400.01947021484375,4.352690696716309,3015,99974,0.0003,400000,-666511.3789698799
7.59,76731.6484375,46949,132,974153.625,403.0277099609375,1.971963882446289,3099,102474,0.0003,410000,-224162.26417344008
12.32,82338.09375,48348,131,892687.9375,405.35107421875,-7.897116661071777,3182,104974,0.0003,420000,-499539.12808689004
13.54,70340.0625,49568,131,1028310.8125,389.24932861328125,-1.4931297302246094,3264,107474,0.0003,430000,-622710.75499958
3.51,63926.546875,52172,131,1040876.25,361.0550537109375,3.093439817428589,3345,109974,0.0003,440000,-126537.45510837002
3.12,64864.92578125,55239,131,1215913.0,335.02850341796875,-5.992883682250977,3427,112474,0.0003,450000,-120700.91052737
3.17,54059.359375,58400,131,882012.0,323.4532775878906,5.5752763748168945,3505,114974,0.0003,460000,-121042.60854211001
3.17,44388.6875,61556,131,865974.75,303.97882080078125,7.298590183258057,3577,117474,0.0003,470000,-121493.79488108002
3.45,42383.56640625,64652,131,818007.875,279.2970886230469,2.1256320476531982,3652,119974,0.0003,480000,-125382.13561090002
3.25,49971.96484375,67731,131,830091.1875,262.80682373046875,-2.155280113220215,3733,122474,0.0003,490000,-121751.45706060999
3.3,43299.23046875,70797,131,873724.625,242.1143035888672,-4.55476188659668,3815,124974,0.0003,500000,-122121.60489374999
3.3,39022.33984375,73861,131,760641.375,220.34426879882812,1.952690601348877,3891,127474,0.0003,510000,-123246.12377250002
3.18,32193.81640625,76945,131,835288.125,202.71188354492188,1.9847074747085571,3965,129974,0.0003,520000,-120498.55547259001
3.37,42345.71875,79946,131,811453.0625,190.639892578125,-8.299549102783203,4038,132474,0.0003,530000,-123882.99526869
4.61,34892.23046875,82625,131,535913.3125,183.86080932617188,-3.500924587249756,4112,134974,0.0003,540000,-145902.29110465
6.67,30566.880859375,84634,131,605742.3125,173.82525634765625,3.2008984088897705,4185,137474,0.0003,550000,-205152.00635186
8.81,34813.46875,85807,131,621585.1875,163.4068145751953,-0.25847071409225464,4257,139974,0.0003,560000,-260175.45486394
8.45,30112.9453125,87090,131,641469.875,165.54364013671875,1.60468327999115,4332,142474,0.0003,570000,-259432.80469204008
4.28,30048.205078125,88590,131,539609.6875,164.0299530029297,-1.0751566886901855,4407,144974,0.0003,580000,-148241.58541827998
3.74,31651.45703125,90656,131,622934.25,161.91668701171875,-2.2502570152282715,4486,147474,0.0003,590000,-136251.27480506
3.07,34490.59375,93392,131,776341.0,155.97250366210938,-0.7473971247673035,4566,149974,0.0003,600000,-119477.46293605
3.1,34982.91796875,96605,131,662036.75,157.9404754638672,-1.6396911144256592,4647,152474,0.0003,610000,-120308.39625449001
3.15,33319.640625,99807,131,632614.8125,160.5401611328125,-1.668144702911377,4728,154974,0.0003,620000,-121393.11362756001
3.08,34762.65234375,103014,130,510206.8125,159.08717346191406,3.3042025566101074,4809,157474,0.0003,630000,-120263.17795559
3.08,32857.36328125,106232,130,601773.3125,158.7165069580078,-0.9367786645889282,4889,159974,0.0003,640000,-120260.77676975001
3.08,34602.1015625,109506,130,657439.75,157.7676544189453,-1.167475938796997,4969,162474,0.0003,650000,-119656.6375826
3.18,47160.9453125,112396,130,567518.1875,153.66819763183594,-2.9215922355651855,5051,164974,0.0003,660000,-121541.54720273
3.47,36899.03125,115124,130,649679.0,163.31895446777344,-2.1952567100524902,5125,167474,0.0003,670000,-121513.64476213
3.12,30184.60546875,118070,130,474811.0625,146.62884521484375,-0.9269481301307678,5198,169974,0.0003,680000,-120157.83424324999
3.28,23169.8359375,120797,130,504740.40625,141.7652587890625,8.238990783691406,5272,172474,0.0003,690000,-123309.24426493
3.16,36391.8125,123280,130,611505.4375,140.51475524902344,-3.2586050033569336,5345,174974,0.0003,700000,-120794.49776351
3.17,33541.98046875,126415,131,508584.65625,135.9239501953125,1.6744909286499023,5418,177474,0.0003,710000,-121547.19243566
3.12,36654.18359375,129613,131,525654.375,136.31703186035156,-6.482980251312256,5493,179974,0.0003,720000,-121136.55291709998
3.04,32424.021484375,132856,131,636112.5,129.62985229492188,-0.7118435502052307,5566,182474,0.0003,730000,-119834.79818073998
3.04,30501.30078125,135575,131,547440.9375,130.14173889160156,-4.790117263793945,5641,184974,0.0003,740000,-119674.64132854002
3.25,26704.208984375,138637,131,544363.1875,130.2061767578125,4.025863170623779,5716,187474,0.0003,750000,-123363.72330079
3.05,26456.15625,141844,131,523559.0625,127.16575622558594,0.21601194143295288,5790,189974,0.0003,760000,-119657.43155182
3.11,28291.484375,145085,131,547792.1875,124.99655151367188,-2.5236754417419434,5864,192474,0.0003,770000,-121029.94440837001
3.02,32661.2421875,148286,131,624487.9375,121.96682739257812,-9.096850395202637,5938,194974,0.0003,780000,-119577.99931628002
3.12,28982.236328125,151508,131,384168.1875,122.42253112792969,8.27241039276123,6013,197474,0.0003,790000,-120776.53261707
3.06,30310.7265625,154414,131,618562.375,118.66204071044922,-5.037827968597412,6089,199974,0.0003,800000,-119976.91260257
3.08,24293.451171875,157337,131,475414.625,118.21739959716797,3.1173934936523438,6164,202474,0.0003,810000,-120050.37808846001
3.07,25969.193359375,160572,131,653028.0625,119.18368530273438,4.217766284942627,6239,204974,0.0003,820000,-120402.53122731
3.13,25181.783203125,163815,131,566297.5625,116.88910675048828,4.543599605560303,6313,207474,0.0003,830000,-120668.82313111001
3.1,33816.6171875,167050,131,565462.875,112.93655395507812,-4.079911231994629,6386,209974,0.0003,840000,-119971.45375372
3.02,31552.876953125,170267,131,498211.25,111.47346496582031,2.481506109237671,6461,212474,0.0003,850000,-118979.66892096
3.13,29149.87890625,173481,131,441769.90625,108.7144775390625,-2.8769497871398926,6536,214974,0.0003,860000,-120697.9805516
3.13,34167.265625,176629,131,515804.5,109.14070129394531,0.03971409797668457,6612,217474,0.0003,870000,-120933.07124408001
3.04,30176.837890625,179594,131,542069.3125,106.30311584472656,0.3386063575744629,6686,219974,0.0003,880000,-119158.80310379001
3.05,33981.95703125,182836,131,538863.25,107.72370910644531,0.7499330043792725,6761,222474,0.0003,890000,-119063.23729296001
3.11,33357.91015625,186084,131,532426.4375,104.9895248413086,-0.11575299501419067,6836,224974,0.0003,900000,-120404.4672827
3.04,33623.81640625,189261,131,452186.84375,102.57803344726562,0.3291056156158447,6911,227474,0.0003,910000,-119183.05339094996
3.04,28841.77734375,192284,131,409877.84375,102.71351623535156,2.9832100868225098,6986,229974,0.0003,920000,-119102.98645321999
3.06,35251.44140625,195536,131,506060.5,101.24368286132812,-1.7439709901809692,7060,232474,0.0003,930000,-119641.18810385998
3.12,30529.958984375,198808,131,662742.5,99.60240173339844,-2.733768939971924,7134,234974,0.0003,940000,-120701.63707700999
3.04,37004.1875,202079,131,473039.0,98.40520477294922,-6.591652870178223,7209,237474,0.0003,950000,-119368.94976696001
3.06,32348.404296875,205353,131,483989.34375,98.07508850097656,-3.8751368522644043,7283,239974,0.0003,960000,-119537.08029063001
3.07,29171.296875,208628,131,604009.0625,98.64569854736328,2.4170868396759033,7358,242474,0.0003,970000,-120101.90376587001
3.04,28885.5,211909,131,424963.5625,95.56587982177734,1.7264200448989868,7433,244974,0.0003,980000,-119178.10939578
3.07,33187.33203125,215179,131,579382.0625,94.85718536376953,-2.4951586723327637,7509,247474,0.0003,990000,-119896.24041181002
3.05,28902.552734375,218457,131,677856.0625,94.41337585449219,3.3394291400909424,7585,249974,0.0003,1000000,-119420.36654342
