train/actor_loss,time/total_timesteps,train/learning_rate,train/n_updates,time/time_elapsed,train/critic_loss,train/ent_coef,train/ent_coef_loss,time/fps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean
139981.4375,630000,0.0064,157474,6093,917.5916137695312,11.415818214416504,-4.62797212600708,103,123974,4.02,-158693.73447342
136223.546875,640000,0.0064,159974,6185,1195.0543212890625,16.229705810546875,5.589042663574219,103,126128,5.68,-226594.54219056002
141956.21875,650000,0.0064,162474,6277,1736.935546875,18.76671028137207,3.79805588722229,103,127928,4.07,-159727.76051033998
152250.53125,660000,0.0064,164974,6368,1683.4178466796875,20.202709197998047,-4.746649742126465,103,130109,4.87,-177444.26303857003
150086.875,670000,0.0064,167474,6460,1799.3087158203125,23.64975929260254,-2.6059796810150146,103,132372,4.56,-172334.50307763994
136242.296875,680000,0.0064,169974,6551,1293.5289306640625,21.543975830078125,2.2377073764801025,103,134799,5.62,-206754.75132964994
132099.34375,690000,0.0064,172474,6643,1238.8214111328125,22.59446907043457,5.177723407745361,103,137290,4.0,-158319.15358222002
141337.671875,700000,0.0064,174974,6735,1529.5682373046875,16.479585647583008,-3.9399490356445312,103,139703,4.13,-161227.77757663
126937.296875,710000,0.0064,177474,6827,929.2847900390625,14.33884048461914,8.37916088104248,103,142182,4.0,-158295.66008489
127370.7265625,720000,0.0064,179974,6917,786.9461669921875,7.628542900085449,-1.5274616479873657,104,144654,4.0,-158271.98822685
124460.234375,730000,0.0064,182474,7008,580.8472290039062,5.770993232727051,1.7615073919296265,104,147152,4.02,-158667.51710290002
126673.984375,740000,0.0064,184974,7098,662.07666015625,3.858490228652954,-0.7195762395858765,104,149445,4.0,-158269.01198254002
129655.375,750000,0.0064,187474,7189,977.1123046875,5.117311954498291,-4.61855936050415,104,151679,4.0,-158282.05405158
141567.296875,760000,0.0064,189974,7280,1407.368896484375,38.87078094482422,-1.289520263671875,104,152992,13.63,-500431.82469631004
162141.28125,770000,0.0064,192474,7369,2692.864013671875,65.18388366699219,7.825216770172119,104,154483,4.27,-163950.16126526
164857.5,780000,0.0064,194974,7469,4209.13671875,37.7267951965332,-2.8280982971191406,104,156899,4.0,-158427.82201838
172455.734375,790000,0.0064,197474,7571,3054.537841796875,39.11050796508789,-21.838499069213867,104,159350,4.0,-158377.41583337
154754.703125,800000,0.0064,199974,7673,3434.28271484375,35.792964935302734,1.9461780786514282,104,161762,4.0,-158357.02030991003
145259.953125,810000,0.0064,202474,7774,2546.79345703125,27.79352569580078,5.294862747192383,104,164251,4.0,-158354.42443707003
149528.84375,820000,0.0064,204974,7876,2559.544189453125,28.032732009887695,-1.6423695087432861,104,166456,4.02,-158746.63002202
129682.5,830000,0.0064,207474,7978,873.3604125976562,10.391623497009277,4.219527721405029,104,168890,4.0,-158285.62198621
127749.859375,840000,0.0064,209974,8080,498.5637512207031,8.62460994720459,3.029257297515869,103,171095,4.06,-159506.27173598
130234.75,850000,0.0064,212474,8183,734.2684936523438,8.00090217590332,-0.8580336570739746,103,173385,4.03,-158866.53642179994
131331.484375,860000,0.0064,214974,8287,678.5280151367188,7.342467784881592,0.44817155599594116,103,175849,4.02,-158671.50144816996
131402.125,870000,0.0064,217474,8391,896.2129516601562,9.966814994812012,-1.190682053565979,103,177975,4.15,-161311.48676164
137568.375,880000,0.0064,219974,8495,1153.778076171875,11.497063636779785,-0.11227816343307495,103,180008,4.23,-162912.02034113
142804.953125,890000,0.0064,222474,8599,1344.9251708984375,12.201894760131836,-6.9509758949279785,103,182038,4.64,-171440.63008235997
133868.765625,900000,0.0064,224974,8704,1665.4156494140625,12.897998809814453,-0.7591561079025269,103,184237,4.83,-177700.37724046997
131742.140625,910000,0.0064,227474,8810,1142.69677734375,12.804343223571777,1.3490716218948364,103,186672,4.0,-158300.34028253998
132065.75,920000,0.0064,229974,8915,1587.8126220703125,8.618330001831055,-5.854649543762207,103,189139,4.0,-158273.05747812998
129282.890625,930000,0.0064,232474,9021,1186.496337890625,9.398799896240234,2.370034694671631,103,191531,4.15,-161306.42713375
123184.09375,940000,0.0064,234974,9127,1042.8695068359375,8.412067413330078,4.899068832397461,102,194004,4.0,-158270.70041711
122611.7109375,950000,0.0064,237474,9233,511.447509765625,4.982336521148682,0.02747213840484619,102,196504,4.0,-158253.83082597
120988.8203125,960000,0.0064,239974,9340,334.46246337890625,2.748696804046631,1.6021121740341187,102,199004,4.0,-158247.62278694
118780.0234375,970000,0.0064,242474,9441,158.24095153808594,1.8641753196716309,-0.5803969502449036,102,201498,4.0,-158206.67470545
120027.8984375,980000,0.0064,244974,9542,244.9170379638672,2.537290096282959,-0.4606143832206726,102,203994,4.0,-158149.62836036002
120691.453125,990000,0.0064,247474,9642,317.7234191894531,4.009556770324707,0.7320719957351685,102,206372,5.01,-188454.93848954997
123489.984375,1000000,0.0064,249974,9742,289.78912353515625,4.0877509117126465,-1.5081884860992432,102,208485,6.93,-250037.95508600003
