train/actor_loss,rollout/ep_rew_mean,train/learning_rate,time/fps,train/n_updates,time/total_timesteps,train/critic_loss,train/ent_coef_loss,train/ent_coef,time/episodes,rollout/ep_len_mean,time/time_elapsed
6772.28076171875,-63241.27182005,0.001,162,79974,320000,79375816.0,-1.2911407947540283,36.900413513183594,3601,234.83,1963
4562.56884765625,-50602.85845942,0.001,162,82474,330000,35797424.0,2.0491507053375244,35.73651885986328,3623,279.58,2024
1325.07666015625,-63290.20124288,0.001,163,84974,340000,34507036.0,-4.084880352020264,34.48844528198242,3641,354.29,2084
5118.64599609375,-65318.12505319,0.001,162,87474,350000,108817704.0,-0.734516441822052,33.327152252197266,3684,328.41,2149
4311.2724609375,-120798.48117370997,0.001,162,89974,360000,89812880.0,-2.291131019592285,31.58919334411621,3702,393.42,2214
1430.0428466796875,-117350.67833930999,0.001,162,92474,370000,24127990.0,1.9860339164733887,33.6213493347168,3720,397.13,2276
-403.595703125,-129105.42798232,0.001,162,94974,380000,41123416.0,-0.6603168249130249,33.90638732910156,3740,392.15,2339
-1692.0294189453125,-148158.3239985,0.001,162,97474,390000,28210600.0,0.523288369178772,32.78080368041992,3761,465.1,2401
797.343994140625,-165717.38849128,0.001,162,99974,400000,105372864.0,-1.8714386224746704,33.244140625,3786,508.45,2464
-2043.835693359375,-89115.92761121999,0.001,161,102474,410000,39120020.0,-0.5431047677993774,33.108375549316406,3838,312.31,2537
-5051.24365234375,-75779.58924766,0.001,161,104974,420000,50563384.0,0.8027942180633545,32.333229064941406,3886,204.43,2606
-3530.828125,-89004.23455053002,0.001,160,107474,430000,31962022.0,-1.0106933116912842,31.099172592163086,3914,229.78,2678
-4396.06982421875,-105234.13027951999,0.001,160,109974,440000,22242172.0,1.462479829788208,32.90360641479492,3926,305.31,2745
-7536.580078125,-118381.54795178,0.001,160,112474,450000,31946312.0,-2.890535354614258,34.94683837890625,3949,368.89,2810
-7162.25390625,-139772.23811727,0.001,159,114974,460000,65349624.0,-1.3809734582901,31.39603042602539,3971,419.95,2876
-8656.802734375,-133295.22918723003,0.001,159,117474,470000,53968056.0,1.239241123199463,31.613664627075195,3992,484.78,2942
-9128.73046875,-139432.20842142001,0.001,159,119974,480000,58961192.0,-0.041549086570739746,32.43145751953125,4012,537.17,3008
-10144.244140625,-130994.28159176999,0.001,158,122474,490000,36261752.0,0.3073924779891968,32.146766662597656,4030,487.07,3082
-14027.92578125,-205996.99266655,0.001,158,124974,500000,47731052.0,-2.3262767791748047,29.910913467407227,4058,456.52,3152
-12365.9326171875,-195913.37430376004,0.001,158,127474,510000,26306332.0,-1.4309728145599365,30.980403900146484,4076,479.92,3226
-13120.0703125,-214113.66722113,0.001,157,129974,520000,13373101.0,-0.5174126625061035,29.936275482177734,4096,466.59,3299
-14491.162109375,-236221.26346903003,0.001,157,132474,530000,81835872.0,-1.1235307455062866,31.818866729736328,4113,477.46,3371
-13607.6103515625,-252478.14478598002,0.001,156,134974,540000,42566888.0,0.6778680682182312,33.47016525268555,4130,496.3,3445
-14286.541015625,-273464.44632052997,0.001,156,137474,550000,38467400.0,1.038750171661377,31.901275634765625,4139,557.47,3518
-17647.48828125,-264701.43290998,0.001,156,139974,560000,45516068.0,-1.3441675901412964,29.108976364135742,4152,633.57,3585
-18809.515625,-218977.2476563,0.001,156,142474,570000,11057526.0,1.176713228225708,30.25822639465332,4161,662.66,3650
-16970.2734375,-169857.62407712,0.001,155,144974,580000,65306316.0,-0.5029056072235107,33.13516616821289,4202,563.94,3718
-17395.443359375,-192151.05778354,0.001,155,147474,590000,56988056.0,0.8580846786499023,31.855802536010742,4214,589.77,3788
-22338.193359375,-149599.98704547997,0.001,155,149974,600000,25839404.0,0.9585449695587158,33.95588302612305,4239,524.13,3861
-22172.03125,-128361.18347545002,0.001,155,152474,610000,37362764.0,-0.9453538656234741,34.161190032958984,4262,406.81,3933
-20037.544921875,-147169.07460164002,0.001,154,154974,620000,10355994.0,0.1970864236354828,39.21036148071289,4276,462.0,4005
-22803.900390625,-137102.04880593,0.001,154,157474,630000,17823008.0,-0.3247327506542206,33.247955322265625,4296,528.64,4077
-22494.09765625,-151074.58762335,0.001,154,159974,640000,40717532.0,-0.005430072546005249,30.578601837158203,4313,518.23,4149
-22388.681640625,-185959.9393651,0.001,154,162474,650000,45814976.0,1.1562089920043945,33.696983337402344,4329,526.32,4214
