train/value_loss,time/time_elapsed,time/total_timesteps,train/clip_range,train/explained_variance,train/loss,train/n_updates,rollout/ep_len_mean,train/entropy_loss,time/fps,rollout/ep_rew_mean,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/std
8578275985.2,268,210000,0.2,0.0,4546954240.0,250,20.41,-16.994475354254245,781,-176639.01521147002,0.00048173525,0.0003,-0.0008188632564269938,0.0,0.9972145557403564
9502062842.8,280,220000,0.2,0.0,4453195264.0,260,24.25,-16.993268781900404,784,-189942.31350809004,0.0006823619,0.0003,-0.0011170824110195098,0.0,0.9971421360969543
8911963578.0,297,230000,0.2,0.0,4727251968.0,280,20.12,-16.995037254691123,773,-172088.72375352003,0.00072285195,0.0003,-0.0011477019631456642,0.0,0.9973664283752441
8516999080.0,309,240000,0.2,0.0,4548689408.0,290,17.72,-16.99497690796852,775,-161887.37475326002,0.00054939213,0.0003,-0.0008627736477137659,0.0,0.99727463722229
8808955742.0,321,250000,0.2,0.0,4628615168.0,300,18.97,-16.993708658218384,778,-162676.85080293,0.00043799693,0.0003,-0.0008152437903845566,0.0,0.9971513748168945
8796194144.8,333,260000,0.2,0.0,4463438848.0,310,21.43,-16.99226248562336,780,-173612.65682916995,0.00048110774,0.0003,-0.0007707993217081821,0.0,0.9970356822013855
8511292882.4,345,270000,0.2,-1.1920928955078125e-07,3839304192.0,320,18.34,-16.991358545422553,782,-162351.30440862998,0.000558583,0.0003,-0.0008659437464302755,0.0,0.9970048069953918
8642752682.8,362,280000,0.2,0.0,4146653184.0,340,16.96,-16.989650012552737,773,-150193.65183504,0.00047637854,0.0003,-0.0008235948010224092,0.0,0.9968534111976624
8271774443.6,374,290000,0.2,0.0,3906731008.0,350,23.35,-16.9885029271245,775,-199384.76548483,0.00037357362,0.0003,-0.0006785645457057399,0.0,0.996727705001831
9160411943.6,385,300000,0.2,1.1920928955078125e-07,4852315136.0,360,17.06,-16.987902460992338,777,-149342.19661796,0.0005040548,0.0003,-0.0007899949856437161,0.0,0.996755838394165
8787300632.4,397,310000,0.2,5.960464477539063e-08,4963897344.0,370,18.89,-16.98647025376558,779,-162758.8879097,0.0006539002,0.0003,-0.0010499810205146787,0.0,0.9964850544929504
8539694414.0,414,320000,0.2,5.960464477539063e-08,4092315392.0,390,17.12,-16.983291761577128,771,-153842.71544934998,0.0007990019,0.0003,-0.001196362774408044,0.0,0.9963758587837219
8779273878.4,426,330000,0.2,5.960464477539063e-08,3826537728.0,400,17.86,-16.982511261105536,772,-161145.30094761,0.0004656631,0.0003,-0.0006959771444599028,0.0,0.9962041974067688
8516514310.4,438,340000,0.2,0.0,4534255104.0,410,16.05,-16.981622339785098,774,-148264.49345416998,0.00028160654,0.0003,-0.0005702695128093182,0.0,0.9962291121482849
8468150670.8,450,350000,0.2,5.960464477539063e-08,4850909184.0,420,21.15,-16.980938524007797,776,-183219.87919317,0.00043813043,0.0003,-0.0006721649920109485,0.0,0.9960907101631165
8867729752.8,462,360000,0.2,0.0,4733728768.0,430,17.67,-16.98002183139324,777,-155230.56318501,0.0005170932,0.0003,-0.0007966987602230802,0.0,0.9960837364196777
8518793778.8,479,370000,0.2,0.0,4291656704.0,450,18.6,-16.977981567382812,770,-155700.3276665,0.00027780823,0.0003,-0.000561058790754032,0.0,0.9957964420318604
8032922407.2,492,380000,0.2,5.960464477539063e-08,4142996224.0,460,21.43,-16.976526860892772,772,-169082.14487774004,0.00074743433,0.0003,-0.0011153360654134303,0.0,0.9957993030548096
8452896481.2,503,390000,0.2,0.0,3809798912.0,470,19.51,-16.97576456964016,773,-154050.24631238,0.00089146267,0.0003,-0.0012900522591735354,0.0,0.9956727623939514
8529985782.8,515,400000,0.2,5.960464477539063e-08,4119404288.0,480,20.1,-16.97595048993826,775,-165964.64124931002,0.0005455056,0.0003,-0.0008543892028683331,0.0,0.99583500623703
8694161080.4,533,410000,0.2,0.0,5057322496.0,500,20.41,-16.974315041303633,769,-156581.95852344998,0.00095170626,0.0003,-0.0014649680037109648,0.0,0.9955472946166992
7693841835.6,545,420000,0.2,0.0,3770994176.0,510,18.83,-16.972231966257095,770,-155529.13502942,0.0010626947,0.0003,-0.0012767805799740017,0.0,0.9953396320343018
8115321014.8,557,430000,0.2,0.0,3985586688.0,520,17.03,-16.97065951228142,771,-146577.64991473002,0.00077880814,0.0003,-0.0011009920433934894,0.0,0.9952948093414307
8482285324.4,569,440000,0.2,0.0,3776955136.0,530,17.36,-16.969786858558656,773,-152130.13314831,0.0007188794,0.0003,-0.000999923603649222,0.0,0.9951977133750916
8009190619.2,581,450000,0.2,1.7881393432617188e-07,3542192640.0,540,17.09,-16.96748416572809,774,-148584.30839719,0.00074652757,0.0003,-0.0011446361870184774,0.0,0.9949131608009338
8229008458.8,598,460000,0.2,1.1920928955078125e-07,3975998464.0,560,17.42,-16.964148223400116,768,-147179.44360096,0.00042201526,0.0003,-0.0006608544333175815,0.0,0.9947546124458313
8170829821.2,610,470000,0.2,-1.1920928955078125e-07,4072957184.0,570,18.36,-16.961978332698344,770,-155103.34026513,0.00069128664,0.0003,-0.0011103965427537333,0.0,0.9944471716880798
8275598544.0,622,480000,0.2,0.0,3727049216.0,580,21.81,-16.958757212758066,771,-171795.08207400996,0.00044143037,0.0003,-0.0005884511152544292,0.0,0.9942302107810974
9025230219.6,634,490000,0.2,-1.1920928955078125e-07,4344698368.0,590,17.79,-16.957650436460973,772,-153473.00632609,0.0004472756,0.0003,-0.0007179087690019515,0.0,0.9942679405212402
7783739749.2,651,500000,0.2,-1.1920928955078125e-07,3941308160.0,610,18.86,-16.955181713402272,767,-152675.84874237,0.0004921203,0.0003,-0.000821160064151627,0.0,0.9938644766807556
7766697982.8,663,510000,0.2,0.0,3631334144.0,620,16.79,-16.952764649689197,768,-147706.46004406002,0.0009573959,0.0003,-0.0012668311380366504,0.0,0.9938190579414368
8012978084.0,675,520000,0.2,1.7881393432617188e-07,3931087616.0,630,17.56,-16.951175126433373,769,-148063.78816625,0.00080345414,0.0003,-0.001187810048168103,0.0,0.9936056733131409
7839448318.8,687,530000,0.2,0.0,4058516736.0,640,19.21,-16.949776808917523,770,-162743.55140264,0.0004604881,0.0003,-0.0006119688064245565,0.0,0.9935894012451172
8172561223.2,699,540000,0.2,5.960464477539063e-08,4296962048.0,650,18.21,-16.94888253211975,771,-143447.18859801002,0.00021012386,0.0003,-0.00037447368495122644,0.0,0.9934657216072083
7705654853.2,716,550000,0.2,0.0,3791720448.0,670,17.11,-16.945181827247144,767,-147689.01625329998,0.00066383375,0.0003,-0.0009515137344351388,0.0,0.9930770993232727
7952947196.0,728,560000,0.2,-1.1920928955078125e-07,4471714816.0,680,17.84,-16.94293656349182,768,-143945.18316934,0.00065889134,0.0003,-0.0009335598238067178,0.0,0.992990255355835
7584881934.4,740,570000,0.2,-1.1920928955078125e-07,3841235968.0,690,18.35,-16.942260444164276,769,-157764.85801723,0.0006122688,0.0003,-0.0008915952104871395,0.0,0.9929787516593933
7685093761.6,753,580000,0.2,5.960464477539063e-08,4031016704.0,700,18.8,-16.940734635293484,770,-146051.36650844998,0.0008984731,0.0003,-0.0011785148388298694,0.0,0.9927372336387634
7868205896.8,770,590000,0.2,5.960464477539063e-08,3680921600.0,720,20.69,-16.935193064808846,766,-157423.69728747001,0.0005557481,0.0003,-0.000823920117727539,0.0,0.9923096299171448
8038787577.2,782,600000,0.2,0.0,3808769024.0,730,17.53,-16.93471961468458,767,-148636.18285175003,0.0015395174,0.0003,-0.0020440280854018057,1.220703125e-05,0.9924195408821106
7877731427.2,794,610000,0.2,0.0,3900963328.0,740,18.6,-16.935057845711707,767,-149293.64371466998,0.00047252545,0.0003,-0.0007974229170940817,0.0,0.9923550486564636
7905803082.4,806,620000,0.2,0.0,3592168704.0,750,18.46,-16.934287521243096,768,-151112.88908686998,0.0013350875,0.0003,-0.0017740434099323466,4.8828125e-05,0.9922964572906494
7669060520.8,818,630000,0.2,-2.384185791015625e-07,4171530496.0,760,16.4,-16.933562445640565,769,-137772.74694256,0.0004803387,0.0003,-0.0006898963819367054,0.0,0.9922400116920471
7706192094.4,835,640000,0.2,1.1920928955078125e-07,3840891648.0,780,15.59,-16.93258263170719,766,-136094.58078959,0.00075155037,0.0003,-0.0010483923440915532,0.0,0.9920692443847656
7475535505.6,847,650000,0.2,0.0,3578736640.0,790,17.52,-16.930739909410477,766,-144845.82283709,0.0009242806,0.0003,-0.0012366027616735665,0.0,0.9920276999473572
8036978501.2,859,660000,0.2,1.1920928955078125e-07,4147149312.0,800,19.54,-16.930075681209566,767,-164628.60144306,0.00060067984,0.0003,-0.000917846539778111,0.0,0.991954505443573
7937761718.8,871,670000,0.2,0.0,4020396544.0,810,18.13,-16.929448778927327,768,-137668.58823935,0.0008217249,0.0003,-0.0010780162758237566,0.0,0.9919259548187256
7531146887.6,888,680000,0.2,0.0,3728886528.0,830,16.74,-16.92816468477249,765,-142163.71498737,0.0002864306,0.0003,-0.0005280340110402904,0.0,0.9918825030326843
7439422128.0,900,690000,0.2,-1.1920928955078125e-07,3014632448.0,840,17.01,-16.92714681327343,765,-138141.68743975,0.0009827099,0.0003,-0.0012958734467247268,0.0,0.9916105270385742
7522418516.4,912,700000,0.2,5.960464477539063e-08,3874376704.0,850,17.32,-16.925396993756294,766,-143600.24600678,0.00082386483,0.0003,-0.0010824088676599786,0.0,0.9915924668312073
7414060565.6,925,710000,0.2,0.0,3705785856.0,860,17.11,-16.92487597465515,767,-144208.08763237,0.0007740919,0.0003,-0.0008220519807309757,0.0,0.9915302395820618
7309758762.8,937,720000,0.2,0.0,4080557824.0,870,14.87,-16.924168333411217,768,-132641.42277431997,0.0009564945,0.0003,-0.0011945904008825892,0.0,0.99148029088974
7492413045.6,954,730000,0.2,0.0,3404397568.0,890,17.99,-16.922749772667885,764,-153748.1545178,0.0010915109,0.0003,-0.001098248602465901,3.662109375e-05,0.9914114475250244
